Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,9.26,0.0
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,10.5,1.90373e-23
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,11.0,3.68383e-22
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,12.0,1.4291999999999998e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,13.0,2.6233999999999998e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,14.0,3.72755e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,15.0,4.67517e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,18.0,6.73833e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,19.0,7.26613e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,20.0,7.752449999999999e-21
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,30.0,1.17328e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,40.0,1.4462399999999998e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,50.0,1.60057e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,60.0,1.67378e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,70.0,1.6975e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,80.0,1.6920399999999998e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,90.0,1.6696499999999997e-20
124,IONIZATION,C2H5 -> C2H5^+,9.26,e / C2H5,E + C2H5 -> E + E + C2H5^+,100.0,1.63771e-20
