Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,14.32,0.0
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,14.8,3.231e-24
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,14.85,1.12322e-23
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,14.9,2.0376e-23
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,15.0,4.18257e-23
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,16.0,4.03298e-22
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,17.0,8.59518e-22
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,18.0,1.2953099999999999e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,19.0,1.6768499999999999e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,20.0,2.00061e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,30.0,3.5117e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,40.0,3.98617e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,50.0,4.17543e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,60.0,4.24558e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,70.0,4.25783e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,80.0,4.239e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,90.0,4.20236e-21
174,IONIZATION,C3H8(v2) -> H C3H7^+,14.32,e / C3H8(v2),E + C3H8(v2) -> E + E + H + C3H7^+,100.0,4.155099999999999e-21
