number,value,datetime_start,datetime_complete,duration,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,state
0,0.24311306567396967,2025-09-15 23:44:52.804838,2025-09-15 23:48:36.183871,0 days 00:03:43.379033,0.30000000000000004,72,3,0.2,64,2,0.5,32,2,COMPLETE
1,0.24071692572906614,2025-09-15 23:48:36.211629,2025-09-15 23:56:30.452378,0 days 00:07:54.240749,0.4,64,3,0.30000000000000004,48,5,0.1,32,5,COMPLETE
2,0.2806357988156378,2025-09-15 23:56:30.475703,2025-09-16 00:02:20.880060,0 days 00:05:50.404357,0.2,96,5,0.30000000000000004,72,6,0.5,48,4,COMPLETE
3,0.09029336785897613,2025-09-16 00:02:20.902174,2025-09-16 00:06:56.666577,0 days 00:04:35.764403,0.30000000000000004,16,5,0.4,16,5,0.1,32,3,COMPLETE
4,0.0935938716866076,2025-09-16 00:06:56.689566,2025-09-16 00:11:22.890901,0 days 00:04:26.201335,0.4,16,6,0.1,16,3,0.30000000000000004,96,3,COMPLETE
5,0.23879800797440112,2025-09-16 00:11:22.912391,2025-09-16 00:20:01.183064,0 days 00:08:38.270673,0.2,64,4,0.2,32,6,0.5,32,6,COMPLETE
6,0.2801824850961566,2025-09-16 00:20:01.196697,2025-09-16 00:28:37.906522,0 days 00:08:36.709825,0.2,96,3,0.5,48,3,0.2,48,6,COMPLETE
7,0.24443571902811528,2025-09-16 00:28:37.918863,2025-09-16 00:35:46.299428,0 days 00:07:08.380565,0.6,48,2,0.6,48,6,0.1,48,5,COMPLETE
8,0.28040781542658805,2025-09-16 00:35:46.322020,2025-09-16 00:44:22.950736,0 days 00:08:36.628716,0.2,64,5,0.4,64,2,0.4,16,6,COMPLETE
9,0.21827932584565132,2025-09-16 00:44:22.973762,2025-09-16 00:47:27.540056,0 days 00:03:04.566294,0.2,64,5,0.4,48,5,0.2,64,2,COMPLETE
10,0.10163280833512545,2025-09-16 00:47:27.562768,2025-09-16 00:51:58.749493,0 days 00:04:31.186725,0.6,16,6,0.6,16,4,0.2,72,3,COMPLETE
11,0.0833340322598815,2025-09-16 00:51:58.772831,2025-09-16 00:56:30.118408,0 days 00:04:31.345577,0.4,16,6,0.1,16,4,0.30000000000000004,96,3,COMPLETE
12,0.0997620003297925,2025-09-16 00:56:30.130811,2025-09-16 01:01:03.783848,0 days 00:04:33.653037,0.5,16,6,0.1,16,4,0.30000000000000004,96,3,COMPLETE
