       Time_s           01           02           03           04           05
   0.0000E+00   1.7689E+02   3.0315E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-06   1.7689E+02   3.0315E+02   4.7456E+04   2.0217E-06   8.6618E-02
   2.0000E-06   1.2488E+03   3.0315E+02   9.7759E+04   1.0608E-05   3.2084E+00
   3.0000E-06   1.4486E+03   3.0315E+02   1.0691E+05   1.1770E-05   4.1294E+00
   4.0000E-06   1.4811E+03   3.0315E+02   1.0840E+05   1.1948E-05   4.2859E+00
   5.0000E-06   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   6.0000E-06   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   7.0000E-06   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   8.0000E-06   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   9.0000E-06   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.0000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.1000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.2000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.3000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.4000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.5000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   1.6000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.7000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.8000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   1.9000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   2.0000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   2.1000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   2.2000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   2.3000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   2.4000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   2.5000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   2.6000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   2.7000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   2.8000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   2.9000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   3.0000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.1000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.2000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.3000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   3.4000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.5000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.6000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.7000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   3.8000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   3.9000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   4.0000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   4.1000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   4.2000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   4.3000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   4.4000E-05   1.4864E+03   3.0315E+02   1.0864E+05   1.1977E-05   4.3118E+00
   4.5000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
   4.6000E-05   1.4873E+03   3.0315E+02   1.0864E+05   1.1984E-05   4.3169E+00
