,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,13.65,0.0
1,1,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,14.0,4.88931e-25
2,2,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,14.5,6.13569e-24
3,3,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,15.0,2.1635700000000002e-23
4,4,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,15.5,4.9217e-23
5,5,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,16.0,8.95321e-23
6,6,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,16.5,1.42273e-22
7,7,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,17.0,2.0657199999999999e-22
8,8,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,17.5,2.81264e-22
9,9,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,18.0,3.65055e-22
10,10,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,18.5,4.5662799999999995e-22
11,11,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,19.0,5.54705e-22
12,12,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,19.5,6.5809e-22
13,13,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,20.0,7.65684e-22
14,14,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,30.0,2.8927199999999997e-21
15,15,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,40.0,4.17967e-21
16,16,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,50.0,4.81909e-21
17,17,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,60.0,5.1045199999999994e-21
18,18,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,70.0,5.1996499999999994e-21
19,19,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,80.0,5.19083e-21
20,20,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,90.0,5.1247e-21
21,21,116,IONIZATION,C3H7 -> H2 H C3H4^+,13.65,e / C3H7,E + C3H7 -> E + E + H2 + H + C3H4^+,100.0,5.0272899999999995e-21
