,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,3.76,0.0
1,1,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,4.0,2.2455300000000002e-23
2,2,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,5.0,1.31532e-21
3,3,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,6.0,3.86655e-21
4,4,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,7.0,6.5152799999999995e-21
5,5,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,8.0,8.81093e-21
6,6,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,9.0,1.0668299999999995e-20
7,7,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,9.5,1.14427e-20
8,8,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,10.0,1.2125199999999999e-20
9,9,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,12.0,1.41072e-20
10,10,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,15.0,1.5589499999999998e-20
11,11,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,17.0,1.60091e-20
12,12,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,18.0,1.61144e-20
13,13,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,19.0,1.6168799999999994e-20
14,14,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,20.0,1.61825e-20
15,15,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,30.0,1.5285299999999998e-20
16,16,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,40.0,1.39576e-20
17,17,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,50.0,1.2746399999999999e-20
18,18,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,60.0,1.1711499999999995e-20
19,19,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,70.0,1.0834299999999995e-20
20,20,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,80.0,1.0086399999999999e-20
21,21,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,90.0,9.442839999999999e-21
22,22,70,EXCITATION,C3H6 -> C3H4 H2,3.76,e / C3H6,E + C3H6 -> E + C3H4 + H2,100.0,8.883569999999999e-21
