,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,10.88,0.0
1,1,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,11.0,3.25028e-26
2,2,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,12.0,1.89999e-23
3,3,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,13.0,9.51945e-23
4,4,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,14.0,2.29396e-22
5,5,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,15.0,4.07325e-22
6,6,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,16.0,6.13288e-22
7,7,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,17.0,8.34199e-22
8,8,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,18.0,1.06025e-21
9,9,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,19.0,1.28454e-21
10,10,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,20.0,1.50242e-21
11,11,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,22.0,1.90835e-21
12,12,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,25.0,2.42765e-21
13,13,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,28.0,2.8407099999999997e-21
14,14,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,30.0,3.0640599999999998e-21
15,15,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,40.0,3.7363999999999995e-21
16,16,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,50.0,3.9785699999999994e-21
17,17,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,60.0,4.02402e-21
18,18,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,70.0,3.9771799999999995e-21
19,19,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,80.0,3.88691e-21
20,20,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,90.0,3.77729e-21
21,21,121,IONIZATION,C3H7 -> C2H4 CH3^+,10.88,e / C3H7,E + C3H7 -> E + E + C2H4 + CH3^+,100.0,3.6606e-21
