,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,12.74,0.0
1,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,15.0,5.723530000000001e-23
2,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,16.0,1.34771e-22
3,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,17.0,2.39515e-22
4,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,17.5,2.99724e-22
5,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,18.0,3.63929e-22
6,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,18.5,4.31293e-22
7,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,19.0,5.01063e-22
8,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,20.0,6.45218e-22
9,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,21.0,7.919949999999999e-22
10,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,22.0,9.38135e-22
11,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,23.0,1.0813e-21
12,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,24.0,1.21989e-21
13,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,26.0,1.47947e-21
14,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,30.0,1.91887e-21
15,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,40.0,2.60943e-21
16,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,50.0,2.9265e-21
17,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,60.0,3.05109e-21
18,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,70.0,3.0762e-21
19,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,80.0,3.04897e-21
20,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,90.0,2.99415e-21
21,130,IONIZATION,C3H6 -> CH4 C2H2+,12.74,e / C3H6,E + C3H6 -> E + E + CH4 + C2H2+,100.0,2.92524e-21
