,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,16.3,0.0
1,1,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,16.5,5.07476e-24
2,2,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,16.7,1.0840800000000001e-23
3,3,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.0,2.21861e-23
4,4,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.3,3.81136e-23
5,5,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.5,5.1776700000000004e-23
6,6,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.8,7.72737e-23
7,7,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,18.0,9.7735e-23
8,8,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,19.0,2.41358e-22
9,9,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,20.0,4.46403e-22
10,10,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,30.0,3.4293299999999996e-21
11,11,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,40.0,5.6116099999999994e-21
12,12,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,50.0,6.826289999999999e-21
13,13,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,60.0,7.43665e-21
14,14,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,70.0,7.692779999999999e-21
15,15,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,80.0,7.74311e-21
16,16,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,90.0,7.674219999999999e-21
17,17,88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,100.0,7.537099999999999e-21
