,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,11.6,0.0
1,1,1,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,12.0,4.2824e-23
2,2,2,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,13.0,3.20344e-22
3,3,3,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,14.0,7.19288e-22
4,4,4,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,15.0,1.15007e-21
5,5,5,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,16.0,1.56775e-21
6,6,6,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,17.0,1.95178e-21
7,7,7,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,18.0,2.2947e-21
8,8,8,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,19.0,2.59583e-21
9,9,9,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,20.0,2.85773e-21
10,10,10,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,30.0,4.1503e-21
11,11,11,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,40.0,4.52156e-21
12,12,12,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,50.0,4.66702e-21
13,13,13,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,60.0,4.72611e-21
14,14,14,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,70.0,4.73871e-21
15,15,15,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,80.0,4.72207e-21
16,16,16,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,90.0,4.68602e-21
17,17,17,78,IONIZATION,C2H6(v13) -> C2H6^+,11.6,e / C2H6(v13),E + C2H6(v13) -> E + E + C2H6^+,100.0,4.63694e-21
