,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,14.3,0.0
1,1,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,14.5,3.3374599999999998e-22
2,2,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,14.6,4.80479e-22
3,3,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,14.9,8.540999999999999e-22
4,4,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,15.0,9.59747e-22
5,5,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,16.0,1.67918e-21
6,6,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,17.0,2.07956e-21
7,7,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,18.0,2.36958e-21
8,8,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,19.0,2.62411e-21
9,9,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,20.0,2.86598e-21
10,10,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,30.0,4.55975e-21
11,11,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,40.0,5.15203e-21
12,12,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,50.0,5.36456e-21
13,13,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,60.0,5.4467399999999995e-21
14,14,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,70.0,5.4679599999999996e-21
15,15,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,80.0,5.45335e-21
16,16,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,90.0,5.41535e-21
17,17,104,IONIZATION,C3H8(v2) -> C3H8+,14.3,e / C3H8(v2),E + C3H8(v2) -> E + E + C3H8+,100.0,5.36154e-21
