Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,6.9,0.0
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,7.0,1.259e-25
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,7.1,9.54493e-25
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,7.2,3.0552e-24
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,7.5,2.09426e-23
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,7.7,4.49397e-23
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,8.0,1.01118e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,8.5,2.47562e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,8.6,2.84137e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,8.8,3.63773e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,9.0,4.51321e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,9.5,6.98941e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,10.0,9.77117e-22
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,11.0,1.58146e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,12.0,2.1983499999999998e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,13.0,2.79017e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,14.0,3.3381199999999997e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,15.0,3.83456e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,16.0,4.27813e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,17.0,4.6708299999999995e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,18.0,5.01626e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,19.0,5.318699999999999e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,20.0,5.5825099999999995e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,30.0,6.854009999999999e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,40.0,6.98969e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,50.0,6.78411e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,60.0,6.4787e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,70.0,6.155399999999999e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,80.0,5.8434499999999995e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,90.0,5.5527399999999994e-21
50,EXCITATION,C2H4 -> C2H3 H,6.9,e / C2H4,E + C2H4 -> E + C2H3 H,100.0,5.2856399999999994e-21
