Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,11.55,0.0
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,12.0,2.2714e-24
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,13.0,5.61392e-23
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,14.0,2.04729e-22
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,15.0,4.40823e-22
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,16.0,7.42151e-22
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,16.5,9.09997e-22
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,17.0,1.08583e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,17.5,1.26742e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,18.0,1.4527999999999998e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,18.5,1.6403199999999998e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,19.0,1.82855e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,19.5,2.01631e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,20.0,2.2026e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,30.0,5.07435e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,40.0,6.4221999999999995e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,50.0,6.962699999999999e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,60.0,7.11744e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,70.0,7.08407e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,80.0,6.957799999999999e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,90.0,6.78668e-21
118,IONIZATION,C3H7 -> CH3 C2H4+,11.55,e / C3H7,E + C3H7 -> E + E + CH3 + C2H4+,100.0,6.5959599999999995e-21
